species_name,ortho_file_name
saccharomyces_cerevisiae,saccharomyces_cerevisiae_cds.fna
fusarium_oxysporum,fusarium_oxysporum_cds.fna
candida_albicans,candida_albicans_cds.fna
cryptococcus_neoformans,cryptococcus_neoformans_cds.fna
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_cds.fna
pyricularia_oryzae,pyricularia_oryzae_cds.fna
trichophyton_rubrum,trichophyton_rubrum_cds.fna
cryptococcus_gattii,cryptococcus_gattii_vgii_cds.fna
puccinia_striiformis,puccinia_striiformis_cds.fna
rhizoctonia_solani,rhizoctonia_solani_cds.fna
aspergillus_oryzae,aspergillus_oryzae_cds.fna
zymoseptoria_tritici,zymoseptoria_tritici_cds.fna
aspergillus_fumigatus,aspergillus_fumigatus_cds.fna
rhizopus_microsporus,rhizopus_microsporus_cds.fna
blumeria_graminis,blumeria_graminis_cds.fna
aspergillus_niger,aspergillus_niger_cds.fna
rhizopus_delemar,rhizopus_delemar_cds.fna
serpula_lacrymans,serpula_lacrymans_cds.fna
agaricus_bisporus,agaricus_bisporus_cds.fna
verticillium_dahliae,verticillium_dahliae_cds.fna
saccharomyces_pastorianus,saccharomyces_pastorianus_cds.fna
coccidioides_immitis,coccidioides_immitis_cds.fna
blastomyces_dermatitidis,blastomyces_dermatitidis_cds.fna
histoplasma_capsulatum,histoplasma_capsulatum_cds.fna
penicillium_oxalicum,penicillium_oxalicum_cds.fna
kwoniella_mangrovensis,kwoniella_mangrovensis_cds.fna
drepanopeziza_brunnea,drepanopeziza_brunnea_cds.fna
penicillium_digitatum,penicillium_digitatum_cds.fna
rhodotorula_toruloides,rhodotorula_toruloides_cds.fna
brettanomyces_bruxellensis,brettanomyces_bruxellensis_cds.fna
puccinia_triticina,puccinia_triticina_cds.fna
botrytis_cinerea,botrytis_cinerea_cds.fna
schizophyllum_commune,schizophyllum_commune_cds.fna
yarrowia_lipolytica,yarrowia_lipolytica_cds.fna
trichophyton_interdigitale,trichophyton_interdigitale_cds.fna
aspergillus_luchuensis,aspergillus_luchuensis_cds.fna
umbelopsis_isabellina,umbelopsis_isabellina_cds.fna
komagataella_phaffii,komagataella_phaffii_cds.fna
amanita_muscaria,amanita_muscaria_cds.fna
rhizophagus_irregularis,rhizophagus_irregularis_cds.fna
nadsonia_fulvescens,nadsonia_fulvescens_cds.fna
serendipita_vermifera,serendipita_vermifera_cds.fna
colletotrichum_gloeosporioides,colletotrichum_gloeosporioides_cds.fna
lentinus_tigrinus,lentinus_tigrinus_cds.fna
cryptococcus_depauperatus,cryptococcus_depauperatus_cds.fna
cryptococcus_amylolentus,cryptococcus_amylolentus_cds.fna
kwoniella_heveanensis,kwoniella_heveanensis_cds.fna
trichosporon_asahii,trichosporon_asahii_cds.fna
cyberlindnera_jadinii,cyberlindnera_jadinii_cds.fna
aureobasidium_pullulans,aureobasidium_pullulans_cds.fna
